I,V1,V2
0.000197,1.516639528786562,0.982198367750458
0.000198,1.5259418414576824,0.9856323731106783
0.00019899999999999999,1.5353113038333985,0.990620664936647
0.00019999999999999998,1.5434026784683947,0.9951979928080082
0.00020099999999999998,1.5506472559409277,1.0023891258575521
0.000202,1.5619231486724297,1.0060056177751753
0.000203,1.5675254109861387,1.0132915625401355
0.000204,1.57719183671617,1.0169817119321074
0.000205,1.5859985442702371,1.0220483136554723
0.000206,1.5931403258759729,1.0290878299446429
0.000207,1.6022401405352085,1.0336411339812588
0.000208,1.6125795612754608,1.0380063314467842
0.00020899999999999998,1.6198077331704948,1.0433735867186258
0.00020999999999999998,1.626437040859556,1.0495802768138531
0.00021099999999999998,1.6366670444367397,1.0535120124272823
0.000212,1.6437567405801785,1.0585433496940666
0.000213,1.6530327696932445,1.0646329833770345
0.000214,1.6620800828557496,1.0691693134939837
0.000215,1.6696563690057655,1.0735059691251856
0.000216,1.6782048806751615,1.0792728024650686
0.000217,1.6879278430070588,1.0849207835733268
0.00021799999999999999,1.6956811602924613,1.088990895139798
0.00021899999999999998,1.7024290232044677,1.0945886877018363
0.00021999999999999998,1.712034510426742,1.1003093632277818
0.00022099999999999998,1.7196532903125443,1.1054079081537627
0.000222,1.7288402833948726,1.1098038140491062
0.000223,1.7358309953970226,1.116290338359554
0.000224,1.7451118007729909,1.121333279599045
0.000225,1.7547805933172185,1.126506744778479
0.000226,1.761846076622202,1.1316700165622111
0.000227,1.7714454202198662,1.1377950981764064
0.00022799999999999999,1.7793324689483363,1.141400309810658
0.00022899999999999998,1.787471963137749,1.1471722397855202
0.00022999999999999998,1.7966041690888859,1.1527157012218197
0.00023099999999999998,1.804263394200824,1.1578827284064372
0.000232,1.8119810121318995,1.162992476236401
0.000233,1.8212035276033527,1.1670833073211533
0.000234,1.8306501699677977,1.172347160273551
0.000235,1.8376439769725563,1.178411505029021
0.000236,1.8463048685513124,1.1836159376236028
0.000237,1.8543399002381038,1.1890728430148183
0.00023799999999999998,1.8637576666055613,1.1936927306483553
0.00023899999999999998,1.871196029149538,1.1995675882178172
0.00023999999999999998,1.8790251414683938,1.2034088451303309
0.00024099999999999998,1.8876569023753136,1.2095502560875204
0.000242,1.8953602603786859,1.214151308660086
0.000243,1.90510393698961,1.218764018166649
0.000244,1.9133485229422331,1.2250010028221137
0.000245,1.9208656624850136,1.231188088370073
0.00024599999999999996,1.9284581343476792,1.2358322308299101
0.000247,1.9384038253168683,1.2404870026839054
0.000248,1.94548670107642,1.2457574049610014
0.000249,1.9546246589196685,1.2505779355449314
0.00025,1.9627856965535477,1.256073815279846
0.000251,1.9711500761065686,1.261656136754417
0.000252,1.9789171980890932,1.2670809609093685
0.00025299999999999997,1.9880802783362415,1.2716832261381927
0.000254,1.9958222822870424,1.2772132974954438
0.00025499999999999996,2.0051931351922163,1.2814914225794514
0.000256,2.012046907890593,1.2875797767320163
0.000257,2.0217069846439317,1.2928056717368124
0.000258,2.029017080606912,1.2978078027958304
0.000259,2.0364283790875497,1.3030590676855769
0.00026,2.0449844645442177,1.3084747680129767
0.000261,2.0546918588211693,1.3119939903291011
0.00026199999999999997,2.0626247040699264,1.3182460466503154
0.000263,2.0699510497719844,1.324380293043787
0.00026399999999999997,2.078616043799773,1.3277273825958058
0.000265,2.0875468476310344,1.333491605052235
0.000266,2.0963880355490168,1.3383562426383362
0.000267,2.10359342901166,1.344727860790003
0.000268,2.1110265369165724,1.3493609494992733
0.000269,2.120503524522979,1.3538804839336243
0.00027,2.1282526895204845,1.3589117543398141
0.000271,2.1367768237613025,1.3652315088425406
0.000272,2.1444711430874426,1.3698113032946124
0.00027299999999999997,2.153986628135212,1.374656261413623
0.000274,2.161839212308584,1.3802212318485765
0.00027499999999999996,2.1694781012657627,1.386332187167856
0.000276,2.178545311020648,1.3897373163203295
0.000277,2.18739577230039,1.3954645243225472
0.000278,2.1942390323591927,1.4013437940489546
0.000279,2.2033368009973078,1.4070966820148865
0.00028,2.2106308199606857,1.411940230573391
0.000281,2.218648375648428,1.417020531557233
0.00028199999999999997,2.2269056952996586,1.4225292869009625
0.000283,2.2357948555950466,1.426478858056297
0.00028399999999999996,2.2447305359234324,1.432257668263904
0.000285,2.2512968045936224,1.438502917576976
0.000286,2.26109672856121,1.4421448543037065
0.000287,2.2702680393706984,1.4474432666913237
0.000288,2.2776512711259547,1.4520640309557125
0.000289,2.2869236055255695,1.4570682419205367
0.00029,2.2940215682688914,1.4630124066237158
0.00029099999999999997,2.302241235278803,1.469085508728582
0.000292,2.310400812077579,1.473902743894082
0.00029299999999999997,2.3192440601918523,1.4788418219540498
0.000294,2.326327804307955,1.4847017254365231
0.00029499999999999996,2.335832039740105,1.4888113801172058
0.000296,2.3438343692208723,1.493668554356088
0.000297,2.3518894828387946,1.4984565864901678
0.000298,2.3598509296358965,1.5047819495434784
0.000299,2.368897110530895,1.509140575163356
0.0003,2.3758269885970056,1.5157146253207414
0.000301,2.384860638786674,1.5198726956946476
0.00030199999999999997,2.3921617362920364,1.5249924045076373
0.000303,2.4008398995858684,1.5310577071267433
0.00030399999999999996,2.4091536178568194,1.535920372384011
0.000305,2.4173181703343327,1.5407155252917015
0.000306,2.4251337498623653,1.5461278973831905
0.000307,2.4340763820712827,1.551415183465123
0.000308,2.4417708162743077,1.5560328474797394
0.000309,2.4506729053694314,1.5609175943126938
0.00031,2.458330942573653,1.5664120686093783
0.00031099999999999997,2.4671223819404924,1.5714270979558926
0.000312,2.4746990630989205,1.5759920932577212
0.00031299999999999996,2.4830837560961885,1.5823105249148226
0.000314,2.49071094582703,1.5870784452037512
0.00031499999999999996,2.499783617980423,1.5919303010877028
0.000316,2.5089406668660432,1.5972317539683405
0.000317,2.515839759193156,1.602435839009239
0.000318,2.525078528262078,1.6075536818478364
0.000319,2.5331787227021683,1.6132144328438016
0.00031999999999999997,2.541595824669599,1.617617834426324
0.000321,2.5498709928231214,1.6235203451781928
